source_address_id,name,notes,date_created_or_modified
204,"Trailer #1 Cargo",,
205,"Trailer #1 Chassis-Suspension",,
206,"Other Trailer #1 Devices","Recommended address space for subnetwork devices",2001-12-30
207,"Other Trailer #1 Devices","Recommended address space for subnetwork devices",2001-12-30
208,"thru 227 are reserved for future assignment by SAE","To be used for individual preassigned addresses",2001-12-30
228,"Steering Input Unit","May be used for measuring steering angle, steering torsion, steering force feedback, etc.",2005-11-17
229,"Body Controller #2","This is for the second instance of a body controller on a chassis.",2005-11-17
230,"Body-to-Vehicle Interface Control","Interface controller managing interaction of vehicle functions and body functions. May be a combination of body signals and gateway functionalities.",2000-02-10
231,"Articulation Turntable Control","Controller managing the articulation turntable for joined body buses.",2000-02-10
232,"Forward Road Image Processor","Views the road ahead for electronic recognition of several items",1999-05-01
233,"Door Controller #3",,
234,"Door Controller #4",,
235,"Tractor/Trailer Bridge #2","Second tractor mounted bridge leading to trailer(s)",1999-02-10
236,"Door Controller #1","cab drivers side or first door",
237,"Door Controller #2","cab codrivers side or second door",
238,Tachograph,,
239,"Electric Propulsion Control Unit #1","First or only on-board device converting torque commands to current commands in an electric vehicle system",
240,"Electric Propulsion Control Unit #2","Second on-board device converting torque commands to current commands in an electric vehicle system",
241,"WWH-OBD Tester","SA for OBD tester as defined in WWH-OBD ISO 15765-4.   Note that some applications use this SA for Electric Propulsion Control Unit #3.",2019-08-22
242,"Electric Propulsion Control Unit #4","Fourth on-board device converting torque commands to current commands in an electric vehicle system",
243,"Battery Pack Monitor #1","Device to monitor battery pack #1",
244,"Battery Pack Monitor #2 / APU #4","SA for either the device to monitor battery pack #2 or APU #4",2006-11-16
245,"Battery Pack Monitor #3 / APU #3","SA for either the device to monitor battery pack #3 or APU #3",2006-11-16
246,"Battery Pack Monitor #4 / APU #2","SA for either the device to monitor battery pack #4 or APU #2",2006-11-16
247,"Auxiliary Power Unit (APU) #1","Device used to provide auxiliary power, such as electrical, hydraulic, pneumatic, or rotary",2006-11-16
