value,manufacturer,location,date_created_or_last_modified
405,"Wema System AS","Bergen, Norway",2010-12-15
406,"Vecima Networks Inc.","Saskatoon, SK  Canada",2010-12-15
407,"Comtech Mobile Datacom","Germantown, MD  USA",2010-12-15
408,"Corvus Energy Ltd.","Richmond, BC Canada",2010-12-15
409,"Transfluid S.r.L.","Gallarate, Italy",2010-12-15
410,"COBO S.p.A. Divisione 3B6","Castelletto sopra Ticino, Italy",2010-12-15
411,"Hy-Drive Technologies Ltd.","Mississauga, ON  Canada",2010-12-23
412,"WebTech Wireless Inc.","Burnaby, BC  Canada",2010-12-23
413,"Datapross Nijbroek bv","Nijbroek, The Netherlands",2011-01-04
414,"Cattron Group International","Sharpsvillle, PA   USA",2011-01-06
415,"Valid Manufacturing Ltd.","Salmon Arm, BC  Canada",2011-01-07
416,"Kubota Corporation","Sakai, Japan",2011-01-14
417,KZValve,"Greenwood, NE  USA",2011-01-26
418,"Intellistick Inc","Santa Ana, CA  USA",2011-01-26
419,"Fusion Electronics Ltd","Auckland, New Zealand",2011-01-29
420,"Vermeer Corporation, ACS Group","Pella, IA  USA",2011-01-31
421,"Vertex Standard Co, Ltd","Tokyo, Japan",2011-02-11
422,"True Heading AB","Danderyd, Sweden",2011-02-11
423,"BSM Wireless, Inc.","Toronto, ON  Canada",2011-03-05
424,"Odyne LLC","Waukesha, WI  USA",2011-03-05
425,"Methode Electronics Inc, MDI","Chicago, IL  USA",2011-03-05
429,"Rota Engineering Ltd.","Bury, Manchester, UK",2011-04-27
430,"Auteq Telematica S.A.","Sao Paulo, Brazil",2011-04-27
431,"Tohatsu Corporation","Tokyo, Japan",2011-04-27
432,"S&A Systems, Inc.","Rockwall, TX  USA",2011-04-27
433,"Rowe Electronics","Norwalk, IA  USA",2011-04-29
434,"Stored Energy Systems","Longmont, CO  USA",2011-04-29
435,"Zunhammer GmbH","Traunreut, Germany",2011-05-06
436,"Kinze Manufacturing","Williamsburg, IA",2011-05-18
437,"Digital Yacht Limited","Bristol, UK",2011-05-18
438,"Comar Systems Ltd","Cowes, Isle of Wight  UK",2011-05-18
439,"HD Hyundai (formerly Hyundai Heavy Industries)","Ulsan, South Korea",2025-06-16
440,"Cummins Power Generation","Fridley, MN   USA",2011-06-18
441,"PTG Reifendruckregelsysteme GmbH","Neuss, Germany",2011-07-01
442,"Horsch Maschinen GmbH","Schwandorf, Germany",2011-07-01
443,"SignalQuest, Inc.","Lebanon, NH   USA",2011-07-01
444,"ITT Power Solutions","West Springfield, MA   USA",2011-07-01
445,"KAT MECHATRONIC, Electronic Product Division","Istanbul, Turkey",2011-07-01
446,"CertTech, L.L.C.","Lenexa, KS  USA",2011-07-29
447,"Great Plains Mfg.","Salina, KS   USA",2011-07-29
448,"Stanadyne Corporation, Electronics Systems","Windsor, CT   USA",2011-08-09
449,"Polaris Industries Inc","Medina, MN   USA",2011-08-22
450,"Dycor Technologies Ltd.","Edmonton, AB   Canada",2011-08-22
451,"Parker Hannifin Corp","Gardena, CA   USA",2011-08-22
452,"WIKA Alexander Wiegand SE & Co. KG","Klingenberg, Germany",2011-10-15
453,"Cooper Bussmann","Tualatin, OR   USA",2011-10-15
454,"NGK Spark Plug Co. Ltd","Komaki, Japan",2011-10-15
455,"ADZ NAGANO GmbH","Ottendorf-Okrilla, Germany",2011-10-31
456,"General Kinetics","Manchester, NH   USA",2011-10-31
457,"RUSELPROM-ElectricDrive Ltd","Moscow, Russian Federation",2011-10-31
458,"Control Solutions, Inc.","St. Paul, MN   USA",2011-10-31
459,"Alltek Marine Electronics Corp","Neihu, Taiwan",2011-11-06
460,"San Giorgio S.E.I.N.","Genova, Italy",2011-11-06
461,"HAWE Hydraulik SE","Munich, Germany",2011-11-13
462,"IHI Shibaura Machinery Corporation","Matsumoto, Japan",2011-11-13
463,PROBOTIQ,"Cuijk, The Netherlands",2012-01-02
464,"Leach International Corporation","Buena Park, CA   USA",2012-01-02
465,"Ashcroft Inc","Stratford, CT   USA",2012-01-02
466,"Veethree Electronics and Marine LLC","Sarasota, FL   USA",2011-12-09
467,"Lely Industries N.V.","Maassluis, The Netherlands",2012-01-02
468,"Tyco Fire Protection Products","Marinette, WI  USA",2012-01-02
469,"RA Consulting GmbH","Bruchsal, Germany",2012-01-21
470,"SI-TEX Marine Electronics","Riverhead, NY   USA",2012-01-21
471,"Sea Cross Marine AB","Udingo, Sweden",2012-02-07
472,"Tenneco Inc.","Grass Lake, MI   USA",2012-02-07
473,"Boss Industries, Inc.","La Porte, IN   USA",2012-02-07
474,"Persen Technologies Inc.","Winnipeg, MB   Canada",2012-02-07
475,GME,"New South Wales, Australia",2012-02-12
476,"Hummingbird Marine Electronics","Alpharetta, GA  USA",2012-02-15
477,"OilQuick AB","Hudiksvall, Sweden",2012-02-17
478,"OceanSat B.V.","Nieuwendijk, The Netherlands",2012-02-21
479,"Vapor Bus International","Buffalo Grove, IL  USA",2012-02-28
480,"EnerDel, Inc.","Indianapolis, IN   USA",2012-02-29
481,"Chetco Digital Instruments","Brookings, OR  USA",2012-03-12
482,"Tricon Electronics","Kolding, Denmark",2012-03-12
483,Valeo,"Creteil, France",2012-04-13
484,"Headsight Inc.","Bremen, IN   USA",2012-04-13
485,"MATT automotive","Koscian, Poland",2012-04-13
486,"Westport Innovations Inc.","Vancouver, BC  Canada",2012-04-13
487,"DSE Test Solutions A/S","Horsens, Denmark",2012-04-13
488,"The Charles Machine Works, Inc.","Perry, OK   USA",2012-04-16
489,"Appareo Systems, LLC","Fargo, ND   USA",2013-09-12
490,QuikQ,"Franklin, TN   USA",2012-04-23
491,"Penny and Giles Ltd","Wales, UK",2012-04-27
492,"Inergy Automotive Systems","Troy, MI   USA",2012-05-03
493,Watcheye,"Gouda, The Netherlands",2012-05-03
494,Synerject,"Toulouse, France",2012-05-03
495,"HOLMER Maschinenbau GmbH","Schierling, Germany",2012-05-03
496,"W. Gessmann GmbH","Leingarten, Germany",2012-06-01
497,"SENTRON Sistemas Embarcados","Sao Carlos, Brazil",2012-06-01
498,"Innovative Design Solutions, Inc.","Troy, MI  USA",2012-06-01
499,"LCJ Capteurs","Vertou, France",2012-07-10
500,"Oxbo International Corporation","Byron, NY   USA",2012-07-12
501,"Agrotronix S.A.","Douvrin, France",2012-07-18
502,"Attwood Corporation","Lowell, MI  USA",2012-08-17
503,"Naviop S.R.L.","Forli, Italy",2012-08-30
504,"Vesper Marine","Auckland, New Zealand",2012-09-25
505,"Yetter Farm Equipment","Colchester, IL   USA",2012-09-25
506,"IHI STAR Machinery Corporation","Hokkaido, Japan",2012-09-25
507,"ISOBUS Test Center","Osnabrück, Germany",2015-07-27
508,"Transtech Innovations","Varennes, QC  Canada",2012-10-26
509,"MOTORTECH GmbH","Celle, Germany",2012-10-26
510,"Marinesoft Co. Ltd","Busan, South Korea",2012-10-26
511,Sulky,"Chateaubourg, France",2012-10-26
512,"Inpower LLC","Lewis Center, OH   USA",2012-11-01
513,"Precision Technology","Toowoomba, QLD  Australia",2019-11-12
514,"DISTek Integration, Inc.","Cedar Falls, IA   USA",2012-11-10
515,"GINAF Trucks Nederland B.V.","Veenendaal, The Netherlands",2012-11-14
516,"AVAT Automation GmbH","Tuebingen, Germany",2012-11-30
517,"Noland Engineering","Melbourne, FL   USA",2012-12-06
518,"Transas USA Inc.","Bothell, WA   USA",2012-12-06
519,"Peeters Landbouwmachines b.v.","Etten-Leur, The Netherlands",2012-12-12
520,Trapeze,"Cedar Rapids, IA   USA",2012-12-14
521,"Clever Devices Ltd.","Woodbury, NY   USA",2013-02-15
522,"Nebraska Tractor Test Laboratory","Lincoln, NE  USA",2013-02-15
523,"Reggio Emilia Innovazione","Reggio Emilia  Italy",2013-02-15
524,"Vomax Instrumentation Pty. Ltd.","Marleston, SA   Australia",2013-02-21
525,"Rust Sales INC","Harwood, ND  USA",2013-02-26
526,"LOFA Industries, Inc","Roswell, GA  USA",2013-02-26
527,"GKN Walterscheid GmbH","Lohmar, Germany",2013-02-27
528,"Hoganas AB, Electric Drive Systems","Hoganas, Sweden",2013-03-12
529,"National Instruments Korea","Seoul, South Korea",2013-03-12
530,NMEA,"Severna Park, MD  USA",2013-03-12
531,"Genge & Thoma AG","Bern, Switzerland",2013-03-28
532,"Onwa Marine Electronics Co Ltd.","Hong Kong, China",2013-03-28
533,"Doran Manufacturing, LLC","Cincinnati, OH  USA",2013-04-14
534,"Webasto Thermo & Comfort SE","Gilching, Germany",2013-04-14
535,"MOTORPAL, a.s.","Jihlava, Czech Republic",2013-04-14
536,"SSI Technologies","Janesville, WI  USA",2013-04-25
537,"Schrader Electronics Ltd.","Antrim, N. Ireland",2013-04-25
538,"Crop Ventures, Inc.","Omaha, NE  USA",2013-04-25
539,Mobileview,"Costa Mesa, CA  USA",2013-04-25
540,"Dinex A/S","Middelfart, Denmark",2013-04-25
541,"Total Fire Systems, Inc.","Youngsville, NC  USA",2013-04-25
542,"Dinamica Generale s.p.a.","Poggio Rusco, Italy",2013-05-08
543,"BAUER Maschinen GmbH","Schrobenhausen, Germany",2013-05-23
544,"Au Group Electronics","Windsor, ON   Canada",2013-05-23
545,"GS Global Resources (formerly GS Hydraulics)","Mukwonago, WI   USA",2023-01-23
546,"Maruyama Mfg Co, Inc.","Togane, Chiba, Japan",2013-06-11
547,"Thomson Linear LLC","Marengo, IL  USA",2013-06-17
548,"TM4 Inc.","Boucherville, QC  Canada",2013-06-28
549,"ROAD Deutschland GmbH","Bretten, Germany",2013-06-28
550,"SUN-A Corporation","Hiroshima, Japan",2013-07-17
551,"Wexler CSD Ltd.","Rishon LeZion, Israel",2013-07-17
552,"Matsuyama Plow Mfg Co, Ltd","Nagano, Japan",2013-07-23
553,"KIB Electronics","Elkhart, IN   USA",2013-08-11
554,"iris-GmbH infrared & intelligent sensors","Berlin, Germany",2013-08-20
555,"Sasaki Corporation","Towada City, Japan",2013-08-21
556,"HD Hyundai Infracore Norway (formerly Doosan Infracore Norway)","Elnesvagen, Norway",2025-02-11
557,"Rockson Automation GmbH","Kiel, Germany",2013-09-12
558,"Davis Instruments Corp.","Hayward, CA  USA",2013-10-12
559,"Four Peaks Navigation","Overgaard, AZ  USA",2013-10-12
560,"Iowa State University, Agricultural and Biosystems Engineering","Ames, IA   USA",2013-10-25
561,"b-plus GmbH","Deggendorf, Germany",2013-10-25
562,"Bombardier Transportation GmbH","Mannheim, Germany",2013-10-25
563,"LOHR Sistemas Eletronicos LTDA","Caxias do Sul, Brazil",2013-10-31
564,"Auto Power Electronic","Opole, Poland",2013-11-01
565,"Micro-Trak Systems, Inc.","Eagle Lake, MN  USA",2013-11-12
566,"Geode Technology, Inc.","Fredericton, NB  Canada",2013-11-13
567,"Lithiumstart LLC","Healdsburg, CA  USA",2013-11-26
568,"Makersan Ltd. Co.","Gebze, Turkey",2013-11-26
569,"LORD MicroStrain Sensing Systems","Willison, VT  USA",2013-12-16
570,"frenzel + berg electronic GmbH & Co. KG","Ulm, Germany",2014-01-04
571,"Marinecraft Co., Ltd.","Pusan, South Korea",2014-01-04
572,"Fasse Valves","Kearney, NE  USA",2014-01-04
573,"Orolia Ltd","Portsmouth, Hampshire  UK",2014-01-07
574,"Vishay Precision Group","Bradford, West Yorkshire  UK",2014-01-13
575,Lytx,"San Diego, CA  USA",2014-01-14
576,Vectia,"Irura, Guipuzcoa  Spain",2014-01-19
577,"Denchi Power Ltd  (formerly ABSL Power Solutions Limited)","Thurso, Caithness  Scotland",2014-03-21
578,advanSea,"Loriant, France",2014-01-30
579,"KVH Industries, Inc.","Middletown, RI  USA",2014-01-30
580,"San Jose Technology, Inc.","New Taipei City, Taiwan",2014-01-30
581,"Väderstad AB","Väderstad, Sweden",2022-06-15
582,"Innovative Software Engineering","Coralville, IA  USA",2014-02-14
583,Yachtcontrol,"Hattern, The Netherlands",2014-03-17
584,"CarMedialab GmbH","Bruchsal, Germany",2014-03-24
585,"Industrial Electronic Controls","Rockford, IL  USA",2014-03-25
586,"Suzuki Motor Corp","Hamamatsu, Japan",2014-03-25
587,"JCA Electronics","Winnipeg, MB   Canada",2014-03-27
588,"Vignal Systems","Venissieux, France",2014-03-28
589,"MICO, Inc.","North Mankato, MN  USA",2014-04-01
590,"ARGO-HYTOS GMBH","Kraichtal, Germany",2014-04-09
591,"United States Coast Guard","New London, CT   USA",2014-04-09
592,"tecsis GmbH","Offenbach, Germany",2014-04-16
593,"Sensata Technologies","Attleboro, MA   USA",2014-04-17
594,"Kongsberg Automotive","Kongsberg, Norway",2014-04-17
595,CustomWare,"Assen, The Netherlands",2014-04-28
596,"Brunelco Electronic Innovators B.V.","Haaksbergen, The Netherlands",2014-05-21
597,"Hydac Filter Systems GmbH","Sulzbach/Saar, Germany",2014-05-23
598,"ABB Turbo Systems Ltd","Baden, Switzerland",2014-05-23
599,"Spudnik Equipment Co, LLC","Blackfoot, ID  USA",2014-05-23
600,"Aquatic AV","San Jose, CA  USA",2014-05-23
601,"Navitas Systems","Woodridge, IL  USA",2014-05-23
602,"Nomad Digital Ltd.","Newcastle upon Tyne, UK",2014-06-10
603,Kereval,"Thorigne Fouillard, France",2014-06-18
604,"Rototilt Group AB (formerly Indexator Rototilt Systems AB)","Vindeln, Sweden",2020-02-21
605,"Aventics GmbH","Laatzen, Germany",2014-07-11
606,"Intellian Technologies","Irvine, CA   USA",2014-07-11
607,Knappco/Civacon,"Kansas City, MO   USA",2014-07-15
608,"Gale Banks Engineering","Azusa, CA   USA",2014-07-30
609,"Walvoil S.p.A.","Reggio Emilia, Italy",2014-07-30
610,"Trail Tech","Battle Ground, WA  USA",2014-07-30
611,Esterline,"Coeur d'Alene, ID  USA",2014-07-30
612,"Samwon IT","Busan, Korea",2014-08-04
613,"HKS Co., Ltd.","Shizuoka, Japan",2014-08-21
614,"ARLT Technologies GmbH","Netphen, Germany",2014-08-28
615,"Networkfleet, Verizon Telematics","San Diego, CA   USA",2014-08-28
616,"SMART-TEC s.r.o.","Velke Porici, Czech Republic",2014-09-07
617,"Zero Emission Vehicles","Palmerston North, New Zealand",2014-09-07
618,"Evrard SA","Beaurainville, France",2014-09-16
619,"Right Weigh Load Scales","Sherwood, OR  USA",2014-09-16
620,"BorgWarner Inc. (formerly Sevcon Ltd.)","Auburn Hills, MI   USA",2023-10-12
621,"Hagie Manufacturing Company","Clarion, IA   USA",2014-09-29
622,"Floyd Bell Inc","Columbus, OH   USA",2014-10-06
623,"Xirgo Technologies","Camarillo, CA   USA",2014-10-08
624,"Blackbox Machine Control Pty Ltd","Maida Vale, WA  Australia",2014-10-11
625,"Global MRV Inc.","Buffalo, NY  USA",2014-10-14
626,"AVL DiTEST GmbH","Fuerth, Germany",2014-10-21
627,"Radio Ocean","Merignac, France",2014-10-27
628,"Falck Schmidt Defence Systems","Odense C, Denmark",2014-10-27
629,"Agri Info Design, Ltd.","Hokkaido, Japan",2014-10-29
630,"SmartDrive Systems Inc.","San Diego, CA  USA",2014-10-29
631,Reltima,"Woburn, MA  USA",2014-11-09
632,"Pepperl+Fuchs GmbH","Mannheim, Germany",2014-11-25
633,"TORC Robotics","Blacksburg, VA  USA",2014-11-25
634,"Rocky Research","Huntsville, AL  USA",2014-12-09
635,"Argo Tractors S.p.A.","Reggio Emilia, Italy",2014-12-09
636,"Divelbiss Corporation","Fredericktown, OH  USA",2014-12-09
637,"Bavaria Yachtbau GmbH","Giebelstadt, Germany",2014-12-09
638,"KVH Industries, Inc.","Middletown, RI  USA",2015-01-06
639,"Startec s.r.l.","Sesto al Reghena (PN), Italy",2015-01-06
640,"Power Solutions International","Wood Dale, IL  USA",2015-01-12
641,"Diverse Yacht Services","Southampton, Hampshire  UK",2015-01-16
642,"Moog / Aspen Motion Technologies","Radford, VA   USA",2015-01-22
643,"Bogballe A/S","Uldum, Denmark",2015-01-22
644,"KUS USA","Ft. Lauderdale, FL  USA",2015-01-22
645,"esd electronic system design gmbh","Hannover, Germany",2015-01-22
646,"Veenhuis Machines B.V.","Raalte, The Netherlands",2015-01-22
647,Siloking,"Tittmoning, Germany",2015-01-22
648,"OJSC Ekran","Borisov, Belarus",2015-02-01
649,"Control-Q B.V.","Vaassen, The Netherlands",2015-02-10
650,"Seiko Epson Corp.","Nagano, Japan",2015-02-10
651,"Takakita Co, Ltd.","Nabari, Japan",2015-02-10
652,"MicroControl GmbH & Co. KG","Troisdorf, Germany",2015-02-12
653,"AEV, spol. s r. o.","Kromeriz, Czech Republic",2015-02-12
654,"Kohler Power Systems, Detroit Engine Development Center (DEDC)","Detroit, MI   USA",2015-03-03
655,"Genge & Thoma AG","Lengnau, Switzerland",2015-03-03
656,"PRO SOLUS do Brasil","Campo Mourão, Brazil",2015-03-03
657,"Terzo Power Systems","Sacramento, CA   USA",2015-03-05
658,"Shenzhen Jiuzhou Himunication Technology Co., Ltd","Shenzhen, China",2015-03-11
659,"Data Panel Corp.","Plymouth, MN   USA",2015-03-17
660,"Auto-Gaz Centrum","Radom, Poland",2015-03-30
661,"SPAL Automotive S.r.l.","Correggio, Italy",2015-03-31
662,"Kissling Elektrotechnik GmbH","Wildberg, Germany",2015-03-31
663,"Delta Systems, Inc","Streetsboro, OH  USA",2015-04-01
664,"Level Developments Ltd","Croydon, Surrey  UK",2015-04-09
665,"Gebr. Bode GmbH & Co. KG","Kassel, Germany",2015-04-13
666,"Schaeffler Technologies AG & Co., KG","Herzogenaurach, Germany",2015-04-24
667,Bartec,"Gotteszell, Germany",2015-04-24
668,"MacDon Industries Ltd.","Winnipeg, MB  Canada",2015-04-24
669,"Quantum Fuel Systems Technologies Worldwide, Inc","Lake Forest, CA  USA",2015-04-28
670,"STEMCO LP","Longview, TX  USA",2015-05-01
671,"Innovative Controls Inc.","East Pittsburgh, PA   USA",2015-05-05
672,"OPTIMA Concept","Ruitz, France",2015-05-19
673,"Caruelle Nicolas","Saint Denis de l'Hotel, France",2015-05-28
674,"Yara International ASA","Oslo, Norway",2015-05-28
675,"Kawasaki Motors, Ltd. (formerly Kawasaki Motors Corp., USA)","Akashi, Hyogo, Japan",2025-01-09
676,"Danfoss IXA A/S","Vejle, Denmark",2015-06-22
677,"DSA Daten- und Systemtechnik GmbH","Aachen, Germany",2015-06-29
678,"KeepTruckin, Inc.","Amherst, NY   USA",2015-06-30
679,"OXE Marine AB (formerly Cimco Marine AB)","Ängelholm, Sweden",2020-03-03
680,"AMVAC Chemical Corporation","Newport Beach, CA  USA",2015-07-14
681,"BEDIA Motorentechnik GmbH & Co. KG","Altdorf bei Nuernberg, Germany",2015-07-14
682,"Eckelmann AG","Wiesbaden, Germany",2015-07-27
683,"Fosen Elektro","Hasselvika, Norway",2015-07-27
684,KEB,"Barntrup, Germany",2015-07-27
685,"ANEDO (formerly ANEDO Ltd.)","Eydelstedt, Germany",2019-05-24
686,"Taigene Electric Machinery Corp.","Taipei, Taiwan",2015-07-27
687,"Flight Systems, Inc.","Mechanicsburg, PA  USA",2015-07-31
688,"Rockford Corp","Tempe, AZ   USA",2015-07-31
689,"Aarcomm Systems Inc","Coquitlam, BC  Canada",2015-07-31
690,"LINAK A/S","Guderup, Denmark",2015-08-03
691,"Digitroll Agricultural Electronics","Hajduszoboszlo, Hungary",2015-08-06
692,"Tanhay Corporation","Incheon, South Korea",2015-08-13
693,"Agility Fuel Solutions (formerly Agility Fuel Systems)","Santa Ana, CA   USA",2016-10-05
694,"GasTOPS Ltd.","Ottawa, ON   Canada",2015-09-03
695,"Weldon Technologies","Columbus, OH   USA",2015-09-03
696,"DRS Network & Imaging Systems, LLC (DRS Technologies)","Huntsville, AL   USA",2015-09-08
697,"Ålö AB","Umeå, Sweden",2015-09-09
698,"Scorpion Technologies Ltd.","Kamloops, BC  Canada",2015-10-13
699,"Harman International (formerly Harman International Industries)","Stamford, CT   USA",2022-12-21
700,"K-Tec Earthmovers Inc.","Rosenort, MB  Canada",2015-10-13
701,"BigRoad Inc.","Kitchener, ON  Canada",2015-10-13
702,"Weichai Power Co., Ltd.","Weifang, China",2015-10-13
703,"Hydro Tab Marine Engineering","Athens, Greece",2015-10-13
704,"JL Audio, Inc.","Miramar, FL  USA",2015-10-15
705,"SVAB Hydraulik AB","Hallsberg, Sweden",2015-10-18
706,"Shanghai Diesel Engine Corporation Limited","Shanghai, China",2015-10-22
707,"Rochester Gauges Inc","Dallas, TX  USA",2015-10-26
708,"Lars Thrane A/S","Vedbaek, Denmark",2015-10-26
709,"Marquardt GmbH","Rietheim-Weilheim, Germany",2015-10-29
710,"Greentronics Ltd.","Elmira, ON  Canada",2015-11-23
711,"DAS Co., LTD","Hwaseong-si, South Korea",2015-11-23
712,"LOR Manufacturing Company Inc.","Weidman, MI   USA",2015-11-23
713,"US Hybrid Corporation","Torrance, CA   USA",2015-12-09
714,"Kobashi Kogyo Co., Ltd.","Okayama, Japan",2015-12-09
715,"Autonnic Research Ltd","Tollesbury, Essex   UK",2015-12-09
716,"Eaton Control & Power Conversion Division (CPCD)","Tualatin, OR   USA",2015-12-20
717,"Yacht Devices Ltd","Kaliningrad, Russia",2015-12-28
718,"Micronet Inc","Salt Lake City, UT   USA",2016-01-05
719,"Cojali S. L.","Campo de Criptana, Spain",2016-01-10
720,"WITZ Corporation","Nagoya City, Japan",2016-01-11
721,Hypro,"New Brighton, MN   USA",2016-01-13
722,"Contelec AG","Biel/Bienne, Switzerland",2016-01-21
723,"Jabil Inc.","Auburn Hills, MI   USA",2016-01-22
724,"Electronic Applications, Inc.","Phoenix, AZ   USA",2016-01-26
725,"Hitachi Construction Machinery Co., Ltd.","Kandatsu-machi, Japan",2016-01-26
726,"MIDORI PRECISIONS","Tokyo, Japan",2016-02-03
727,"Dhoot Transmission Pvt Ltd.","Aurangabad, India",2016-02-18
728,"Streumaster (formerly Streumaster / Panien)","Egglkofen, Germany",2019-03-06
729,Liebherr,"Bulle, Switzerland",2016-03-02
730,"BERTHOUD AGRICOLE","Belleville sur Saone, France",2016-03-03
731,"Modine Manufacturing Company","Racine, WI   USA",2016-03-04
732,"Gefran S.p.A.","Provaglio d'Iseo, Italy",2016-03-04
733,"Intendia S.L.","Madrid, Spain",2016-03-23
734,REAPsystems,"St Denys, Southampton  UK",2016-03-23
735,"AEM Performance Electronics","Hawthorne, CA  USA",2016-03-23
736,"Terex Aerial Work Platforms - Genie","Redmond, WA  USA",2016-04-21
737,"Balluff GmbH","Neuhausen, Germany",2016-04-29
738,"Blue Ink Technologies","Huntington, WV  USA",2016-05-04
739,"LXNAV d.o.o.","Celje, Slovenia",2016-05-19
740,e-Traction,"Apeldoorn, The Netherlands",2016-05-19
741,"Carling Technologies","Plainville, CT   USA",2016-05-19
742,EROAD,"Auckland, New Zealand",2016-05-22
743,"Daemyung Elevator Co., Ltd.","Ulsan, Republic of Korea",2016-05-25
744,"Woosung Engineering Co., Ltd.","Gyengsangnam-do, Republic of Korea",2016-05-27
745,"Cidra Corporate Services Inc.","Wallingford, CT  USA",2016-06-10
746,"SurePoint Ag Systems (formerly SureFire Ag Systems, Inc.)","Atwood, KS  USA",2024-04-17
747,Agratronix,"Streetsboro, OH  USA",2016-06-10
748,ISOTTA,"Occhiobello, Italy",2016-06-10
749,"Chart Inc.","Ball Ground, GA   USA",2016-06-20
750,"Joskin SA","Soumagne, Belgium",2016-06-20
751,"Pacific Track","Newport Beach, CA   USA",2016-06-24
752,"Deep Sea Electronics Plc","Hunmanby, North Yorkshire   UK",2016-06-24
753,"AIROD Technologies","Toulouse, France",2016-06-29
754,"Parker Hannifin Corp., Automation Group","Cleveland, OH   USA",2016-07-01
755,"Firefly Integrations","Middlebury, IN  USA",2016-07-21
756,"Maschio Gaspardo S.P.A.","Campodarsego, Italy",2016-07-21
757,"IMPCO Technologies","Calgary, AB   Canada",2016-07-21
758,"Banner Engineering Corp.","Minneapolis, MN   USA",2016-07-21
759,Hydro-Gear,"Sullivan, IL  USA",2016-07-28
760,"Bernecker + Rainer Industrie Elektronik GmbH","Eggelsberg, Austria",2016-07-28
761,"MITA OLEODINAMICA S.p.A.","Tregnago, Italy",2016-07-28
762,"ROJ s.r.l.","Biella, Italy",2016-08-01
763,"AT-Systems BVBA","Meerle, Belgium",2016-08-02
764,"Bednar FMT s.r.o.","Prague, Czech Republic",2016-08-17
765,GIGAVAC,"Carpinteria, CA   USA",2016-08-17
766,"Epec Oy","Seinajoki, Finland",2016-08-17
767,"Alliance Wireless Technologies Inc.","Houston, TX  USA",2016-08-30
768,"Flores Automation, LLC","Muskego, WI  USA",2016-08-30
769,Trombetta,"Milwaukee, WI  USA",2016-08-30
770,MONOSEM,"Largeasse, France",2016-08-30
771,"Shaw Development, LLC","Bonita Springs, FL  USA",2016-09-12
772,"Blink Marine","Milano, Italy",2016-09-30
773,"Clarion Corporation of America","Cypress, CA   USA",2016-09-30
774,"Taisho Corporation","Mito, Japan",2016-09-30
775,"ZIEHL-ABEGG Automotive GmbH","Kupferzell, Germany",2016-10-14
776,"HMI Systems LLC","Lakeland, FL   USA",2016-10-25
777,"Ocean Signal Ltd","Margate, Kent   UK",2016-10-25
778,"Seakeeper Inc.","California, MD   USA",2016-10-25
779,"RLC Electronic Systems","Sinking Spring, PA  USA",2016-11-01
780,"Turntide Transport Limited (formerly AVID Technology Ltd)","Cramlington, Northumberland  UK",2022-05-17
781,"Poly-Planar LLC","Hanover, MD   USA",2016-11-04
782,"AVR nv","Roeselare, Belgium",2019-12-14
783,"Loup Electronics Inc.","Lincoln, NE   USA",2016-12-02
784,"CM Automotive Systems, Inc.","Walnut, CA   USA",2016-12-02
785,"Fischer Panda GmbH","Paderborn, Germany",2016-12-17
786,"Johnson Matthey Battery Systems","Milton Keynes, Bucks   UK",2016-12-17
787,"Abertax Technologies Limited","Paola, Malta",2017-01-15
788,"MoTeC Pty Ltd","Melbourne, Victoria   Australia",2017-01-15
789,GRADALL,"New Philadelphia, OH  USA",2017-02-03
790,VACALL,"New Philadelphia, OH  USA",2017-02-03
791,AUTEC,"Caldogno, Italy",2017-02-07
792,"Kostal Mexicana","Querétaro, Mexico",2017-02-07
793,"James Fisher Prolec","Poole, Dorset   UK",2017-02-09
794,"Shihlin Electric & Engineering Corporation","Suzhou, China",2017-02-09
795,"Broyda Enterprises Pty Ltd","Sydney, Australia",2017-02-10
796,"Canadian Automotive Industries Ltd","Stony Plain, AB   Canada",2017-02-10
797,"Tides Marine","Deerfield Beach, FL   USA",2017-02-10
798,"Lumishore Ltd","Swansea, Wales   UK",2017-02-10
799,"Stillwater Designs and Audio, Inc. - KICKER","Stillwater, OK   USA",2017-02-10
800,"Delta-Q Technologies","Burnaby, BC   Canada",2017-02-16
801,"LOR Manufacturing Company Inc.","Weidman, MI   USA",2017-03-01
802,"SPBI (Bj Technologie)","Dompierre-sur-Yon, France",2017-03-01
803,"Gill Sensors & Controls Limited","Lymington, Hampshire   UK",2017-03-03
804,"ASA Electronics","Elkhart, IN   USA",2017-03-09
805,"Gundersen & Løken AS","Oslo, Norway",2017-03-17
806,"Charge Automotive Ltd","Banbury, Oxfordshire   UK",2017-03-17
807,Schneider-Electric,"Burnaby, BC   Canada",2017-03-27
808,"RIMEX Supply Ltd.","Surrey, BC   Canada",2017-03-27
809,"HMS Industrial Networks AB","Halmstad, Sweden",2017-04-04
810,"Dutch Power Company","Giessen, The Netherlands",2017-04-07
811,"Blue Water Desalination","Carson, CA   USA",2017-04-10
812,"Torch Technologies","Huntsville, AL  USA",2017-04-12
813,"Thales Suisse SA","Zurich, Switzerland",2017-04-12
814,"Kronotech Srl (formerly Soltec Soluzioni Tecnologiche Srl)","Basaldella di Campoformido, Italy",2019-03-28
815,"FLIR Systems, Inc.","Wilsonville, OR   USA",2017-04-21
816,UniStrong,"Beijing, China",2017-04-21
817,"TE Connectivity Sensor Solutions","Dormund, Germany",2017-04-21
